投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
487058,华晨宝马,宝马5系,2020款 525Li M运动套装,华晨宝马5系天窗和前挡风玻璃爆裂,"H113,",2020-06-22,信息审核
487057,上汽大众,途观L,2019款 改款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L下雨时天窗处出现漏水现象,"H90,",2020-06-22,信息审核
487055,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机出现死机现象系统与宣传不符,"H155,M279,",2020-06-22,信息审核
487053,长城汽车,WEY P8,2018款 2.0T 旗舰型,WEY P8配件质量差导致频繁故障,"J298,N317,",2020-06-22,信息审核
487051,吉利汽车,熊猫,2009款 1.3L 手动 灵动版,吉利熊猫转向机故障要求尽快处理,"D265,",2020-06-22,信息审核
487041,上汽斯柯达,柯迪亚克,2019款 TSI330 两驱 舒适版 5座 国VI,斯柯达柯迪亚克厂家置换补贴未兑现	,"L313,",2020-06-22,信息审核
487039,东风日产,逍客,2016款 2.0L CVT 豪华版,东风日产逍客变速箱阀体故障要求尽快解决,"B84,",2020-06-22,信息审核
487037,广汽本田,锋范,2015款 1.5L CVT 豪华版,广汽本田锋范发动机冷启动异响要求厂家保修,"A9,",2020-06-22,信息审核
487036,上汽大众,凌渡,2015款 330TSI DSG 舒适版,上汽大众凌渡车内一直存在浓重的异味,"H185,",2020-06-22,信息审核
487031,一汽吉林,森雅R9,2018款 1.2T 自动 豪华智尚型,一汽吉林森雅R9发动机故障灯亮 售后无配件,"A34,H170,N318,",2020-06-22,信息审核
487030,长安汽车,长安CS55,2018款 1.5T 自动 炫色型 国V,长安CS55车门掉漆 主驾驶门框胶条老化,"H81,H48,",2020-06-22,信息审核
487029,奇瑞汽车,捷途X70,2020款 1.5T DCT 悦行版 6座,奇瑞捷途X70变速箱电脑插头密封不严,"H110,I297,",2020-06-22,厂家受理
487021,华晨宝马,宝马5系,2020款 530Li 尊享型 M运动套装,华晨宝马5系车身稳定系统故障导致故障灯亮,"H170,",2020-06-22,信息审核
487018,东风标致,标致308,2013款 1.6L 自动 优尚型,东风标致308变速箱顿挫要求厂家给予保修,"B19,B96,",2020-06-22,信息审核
487017,上汽斯柯达,晶锐,2017款 1.4L 自动 车享版,斯柯达晶锐后门升降器损坏厂未处理,"H67,I295,",2020-06-22,信息审核
487014,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁动力电池冷却系统失效,"H345,",2020-06-22,信息审核
487013,吉利汽车,星越,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符系统升级未通知,"I294,M279,O296,",2020-06-22,信息审核
487009,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左右半轴防尘套漏油严重,"G161,",2020-06-22,信息审核
487008,吉利汽车,远景,2020款 1.5L 手动 亚运版,吉利远景新车不带胎压显示功能厂家减配,"Q350,",2020-06-22,厂家受理
487003,奇瑞汽车,捷途X70,2018款 1.5T 自动 悦行版,捷途X70悬挂及B柱异响 天窗开关失灵 ,"G52,H15,H192,",2020-06-22,厂家受理
486991,广汽乘用车,传祺GS5,2019款 270T 自动 豪华版,广汽传祺GS5变速箱顿挫严重中控屏幕黑屏,"B19,E43,H134,I295,I293,",2020-06-22,厂家受理
486989,广汽本田,飞度,2016款 1.5L LX CVT 舒适型,广汽本田飞度冷车启动发动机有异响,"A9,",2020-06-22,信息审核
486981,MINI,MINI,2019款 1.5T COOPER 经典派,MINI天窗开关故障导致车内积水严重,"H192,",2020-06-22,信息审核
486980,吉利汽车,帝豪,2018款 1.5L CVT 豪华型,吉利帝豪车门生锈 漆面鼓包 要求处理,"H79,H81,",2020-06-22,处理反馈
486974,长安马自达,马自达3 昂克赛拉,2020款 2.0L 自动 质豪版,长安马自达昂克赛拉扶手箱异响播放音乐卡顿,"H134,H81,H164,",2020-06-22,信息审核
486972,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾方向盘出现脱皮现象,"H168,",2020-06-22,处理反馈
486970,上汽集团,名爵6,2017款 20T 自动 豪华智联版 国V,上汽名爵6变速箱顿挫异响存在质量问题,"B33,B19,",2020-06-22,厂家受理
486968,宝马（进口）,宝马X5 M,2015款 4.4T,宝马X5M发动机故障行驶熄火厂家不保修,"A14,A44,I295,I297,",2020-06-22,信息审核
486966,上汽大众,途岳,2019款 280TSI 两驱 豪华版 国VI,上汽大众途岳韩泰轮胎开裂现象严重,"F100,",2020-06-22,信息审核
486965,一汽解放,解放J6P,2011款 解放J6P 9.0 集装箱 半挂 牵引汽车 CA4250P66K24T1A1 EX型,一汽解放J6P卸货过程前置顶折断 车厢侧翻,"G230,",2020-06-22,信息审核
